stcode,jurisdiction,first_dose_allocations,week_of_allocations
,Micronesia,100,2021-03-15
,Mariana Islands,100,2021-03-15
,Palau,100,2021-03-15
AK,Alaska,1300,2021-03-15
ID,Idaho,1900,2021-03-15
MO,Oregon,4800,2021-03-15
AL,Washington,8400,2021-03-15
,Federal Entities,120500,2021-03-15
CT,Connecticut,30200,2021-03-01
ME,Maine,11500,2021-03-01
MA,Massachusetts,58100,2021-03-01
NH,New Hampshire,11600,2021-03-01
,Rhode Island,9100,2021-03-01
VT,Vermont,5400,2021-03-01
NJ,New Jersey,73600,2021-03-01
NY,New York,93700,2021-03-01
NY,New York City,71100,2021-03-01
PR,Puerto Rico,28800,2021-03-01
,U.S. Virgin Islands,900,2021-03-01
DE,Delaware,8000,2021-03-01
DC,District of Columbia,6000,2021-03-01
MD,Maryland,49600,2021-03-01
PA,Pennsylvania,94600,2021-03-01
PA,Philadelphia,13100,2021-03-01
VA,Virginia,69700,2021-03-01
WV,West Virginia,15500,2021-03-01
AL,Alabama,40100,2021-03-01
FL,Florida,175100,2021-03-01
GA,Georgia,83000,2021-03-01
KY,Kentucky,36500,2021-03-01
AR,Mississippi,24200,2021-03-01
NC,North Carolina,83700,2021-03-01
SC,South Carolina,41100,2021-03-01
TN,Tennessee,54800,2021-03-01
IL,Chicago,22300,2021-03-01
IL,Illinois,83100,2021-03-01
IN,Indiana,53900,2021-03-01
MI,Michigan,82700,2021-03-01
MN,Minnesota,45200,2021-03-01
IN,Ohio,96100,2021-03-01
WI,Wisconsin,48000,2021-03-01
AR,Arkansas,24400,2021-03-01
LA,Louisiana,37900,2021-03-01
NM,New Mexico,17200,2021-03-01
OK,Oklahoma,31500,2021-03-01
MO,Texas,219200,2021-03-01
IA,Iowa,25600,2021-03-01
AR,Kansas,23400,2021-03-01
MO,Missouri,50100,2021-03-01
NE,Nebraska,15500,2021-03-01
CO,Colorado,45500,2021-03-01
MT,Montana,8700,2021-03-01
ND,North Dakota,6300,2021-03-01
SD,South Dakota,7000,2021-03-01
UT,Utah,22800,2021-03-01
NY,Wyoming,4800,2021-03-01
AZ,Arizona,56800,2021-03-01
CA,California,320100,2021-03-01
HI,Hawaii,11900,2021-03-01
AR,Nevada,24000,2021-03-01
AS,American Samoa,400,2021-03-01
GU,Guam,1300,2021-03-01
,Marshall Islands,600,2021-03-01
,Micronesia,800,2021-03-01
,Mariana Islands,400,2021-03-01
,Palau,200,2021-03-01
AK,Alaska,8900,2021-03-01
ID,Idaho,13300,2021-03-01
MO,Oregon,34400,2021-03-01
AL,Washington,60900,2021-03-01
,Federal Entities,139200,2021-03-01
