stcode,stname,ctyname,census2010pop,estimatesbase2010,popestimate2019,npopchg_2019,births2019,deaths2019,naturalinc2019,internationalmig2019,domesticmig2019,netmig2019,residual2019,gqestimates2019,rbirth2019,rdeath2019,rnaturalinc2019,rinternationalmig2019,rdomesticmig2019,rnetmig2019
KY,Kentucky,Harrison County,18846,18850,18886,106,234,218,16,-2,94,92,-2,275,12.424998673,11.575426114,0.8495725588,-0.10619657,4.991238783,4.8850422131
KY,Kentucky,Hart County,18199,18194,19035,133,276,191,85,0,47,47,1,227,14.550438886,10.069325461,4.4811134249,0.0,2.4777921291,2.4777921291
KS,Kansas,Jewell County,3077,3073,2879,34,31,34,-3,0,38,38,-1,27,10.831586303,11.879804333,-1.048218029,0.0,13.277428372,13.277428372
KS,Kansas,Johnson County,544179,544181,602401,4274,7125,4070,3055,937,299,1236,-17,5160,11.869777298,6.7803499793,5.0894273186,1.5609798355,0.4981141631,2.0590939986
KS,Kansas,Kearny County,3977,3982,3838,-103,59,23,36,5,-146,-141,2,81,15.169044864,5.9133564726,9.2556883918,1.2855122766,-37.53695848,-36.2514462
KS,Kansas,Kingman County,7858,7860,7152,-68,75,93,-18,-1,-48,-49,-1,190,10.436960757,12.941831339,-2.504870582,-0.139159477,-6.679654884,-6.818814361
KS,Kansas,Kiowa County,2553,2553,2475,-14,29,23,6,1,-20,-19,-1,149,11.684125705,9.2667203868,2.4174053183,0.4029008864,-8.058017728,-7.655116841
KS,Kansas,Labette County,21607,21609,19618,-288,248,222,26,-3,-312,-315,1,480,12.549337112,11.233680802,1.3156563101,-0.151806497,-15.78787572,-15.93968222
KS,Kansas,Lane County,1750,1749,1535,-11,13,17,-4,0,-7,-7,0,3,8.4388185654,11.035378124,-2.596559559,0.0,-4.543979228,-4.543979228
KS,Kansas,Leavenworth County,76227,76220,81758,261,940,639,301,17,-58,-41,1,6498,11.51572693,7.8282441579,3.6874827724,0.2082631466,-0.710544853,-0.502281707
KS,Kansas,Saline County,55606,55604,54224,-163,682,500,182,2,-346,-344,-1,1471,12.558580623,9.2071705444,3.3514100782,0.0368286822,-6.371362017,-6.334533335
KS,Kansas,Scott County,4936,4936,4823,-86,58,59,-1,-2,-83,-85,0,105,11.919441019,12.124948623,-0.205507604,-0.411015208,-17.05713111,-17.46814632
KS,Kansas,Sedgwick County,498365,498356,516042,2558,6705,4511,2194,622,-240,382,-18,7238,13.025411694,8.7632561004,4.2621555939,1.2083230535,-0.466233976,0.7420890779
KS,Kansas,Seward County,22952,22950,21428,-474,403,110,293,106,-878,-772,5,476,18.601430879,5.0773136395,13.52411724,4.8926840526,-40.52619432,-35.63351027
KS,Kansas,Shawnee County,177934,177943,176875,-415,2002,1800,202,132,-743,-611,-6,4389,11.305464967,10.164753716,1.1407112504,0.7454152725,-4.195784451,-3.450369178
KS,Kansas,Sheridan County,2556,2544,2521,-1,31,21,10,2,-14,-12,1,33,12.294269284,8.3283759667,3.9658933175,0.7931786635,-5.552250644,-4.759071981
KS,Kansas,Sherman County,6010,6010,5917,0,72,74,-2,-1,5,4,-2,102,12.168328545,12.506337671,-0.338009126,-0.169004563,0.8450228156,0.6760182525
KS,Kansas,Smith County,3853,3853,3583,-7,41,39,2,0,-10,-10,1,56,11.431757981,10.874111251,0.5576467308,0.0,-2.788233654,-2.788233654
KY,Kentucky,Campbell County,90336,90338,93584,120,1141,887,254,-1,-130,-131,-3,3222,12.200076986,9.4841965699,2.7158804157,-0.010692443,-1.390017536,-1.400709978
KY,Kentucky,Carlisle County,5104,5097,4760,21,53,48,5,0,17,17,-1,60,11.159069376,10.106326982,1.0527423939,0.0,3.5793241394,3.5793241394
KY,Kentucky,Carroll County,10811,10807,10631,-81,141,125,16,0,-98,-98,1,325,13.212762967,11.713442346,1.4993206203,0.0,-9.1833388,-9.1833388
KY,Kentucky,Carter County,27720,27721,26797,-243,310,336,-26,3,-221,-218,1,595,11.516243476,12.482121961,-0.965878485,0.1114475175,-8.209967123,-8.098519605
KY,Kentucky,Casey County,15955,15960,16159,233,185,202,-17,-2,254,252,-2,475,11.531868474,12.591553686,-1.059685211,-0.124668848,15.832943743,15.708274895
KY,Kentucky,Christian County,73955,73940,70461,-251,1466,627,839,-62,-1026,-1088,-2,5502,20.768843901,8.8827183668,11.886125534,-0.878354926,-14.53535733,-15.41371225
KY,Kentucky,Clark County,35613,35603,36263,83,426,414,12,-10,82,72,-1,458,11.760970694,11.429675745,0.3312949491,-0.276079124,2.2638488191,1.9877696948
KY,Kentucky,Clay County,21730,21729,19901,-187,239,245,-6,-3,-178,-181,0,1754,11.953287154,12.253369677,-0.300082523,-0.150041261,-8.902448173,-9.052489435
KY,Kentucky,Henderson County,46250,46246,45210,-302,521,520,1,-5,-297,-302,-1,1164,11.485637442,11.463592072,0.0220453694,-0.110226847,-6.547474703,-6.65770155
KY,Kentucky,Henry County,15416,15413,16126,65,181,166,15,0,51,51,-1,80,11.246776649,10.314723336,0.9320533134,0.0,3.1689812657,3.1689812657
KY,Kentucky,Hickman County,4902,4903,4380,-51,35,63,-28,0,-24,-24,1,212,7.9446146862,14.300306435,-6.355691749,0.0,-5.447735785,-5.447735785
KY,Kentucky,Hopkins County,46920,46918,44686,-338,525,545,-20,7,-325,-318,0,1084,11.704380783,12.150261955,-0.445881173,0.1560584104,-7.245569056,-7.089510645
KY,Kentucky,Jackson County,13494,13490,13329,-74,154,168,-14,-1,-60,-61,1,110,11.521771659,12.569205447,-1.047433787,-0.074816699,-4.489001945,-4.563818644
KY,Kentucky,Jefferson County,741096,741075,766757,-1344,9603,7744,1859,499,-3669,-3170,-33,17228,12.513209691,10.090835765,2.4223739264,0.6502230174,-4.780898298,-4.130675281
KY,Kentucky,Jessamine County,48586,48580,54115,358,629,430,199,35,125,160,-1,1720,11.661969742,7.9724117473,3.6895579947,0.6489172352,2.3175615544,2.9664787897
KY,Kentucky,Johnson County,23356,23359,22188,-203,253,312,-59,-4,-138,-142,-2,528,11.35063595,13.997622199,-2.646986249,-0.179456695,-6.191255973,-6.370712667
KS,Kansas,Lincoln County,3241,3241,2962,-36,21,36,-15,0,-22,-22,1,50,7.0469798658,12.080536913,-5.033557047,0.0,-7.382550336,-7.382550336
KS,Kansas,Linn County,9656,9656,9703,-68,90,121,-31,0,-36,-36,-1,63,9.2430933552,12.426825511,-3.183732156,0.0,-3.697237342,-3.697237342
KS,Kansas,Logan County,2756,2759,2794,-18,41,19,22,0,-40,-40,0,41,14.627185159,6.7784516589,7.8487334998,0.0,-14.27042455,-14.27042455
KS,Kansas,Lyon County,33690,33692,33195,-105,389,276,113,47,-265,-218,0,1451,11.700127829,8.3013760433,3.3987517858,1.4136401233,-7.9705241,-6.556883976
KS,Kansas,McPherson County,29180,29186,28542,14,305,336,-31,0,47,47,-2,928,10.688628001,11.775013142,-1.086385141,0.0,1.6471000526,1.6471000526
KS,Kansas,Marion County,12660,12660,11884,-39,107,142,-35,5,-10,-5,1,727,8.988952829,11.929264502,-2.940311673,0.4200445247,-0.840089049,-0.420044525
KS,Kansas,Marshall County,10117,10117,9707,-8,117,99,18,3,-29,-26,0,164,12.048192771,10.194624652,1.8535681186,0.3089280198,-2.986304191,-2.677376171
KS,Kansas,Meade County,4575,4575,4033,-65,38,34,4,7,-78,-71,2,119,9.3469437954,8.3630549748,0.9838888206,1.721805436,-19.185832,-17.46402656
SD,South Dakota,Sanborn County,2355,2355,2344,-52,33,17,16,0,-69,-69,1,174,13.924050633,7.1729957806,6.7510548523,0.0,-29.11392405,-29.11392405
SD,South Dakota,Spink County,6415,6415,6376,-108,81,69,12,-2,-119,-121,1,403,12.597200622,10.730948678,1.866251944,-0.311041991,-18.50699844,-18.81804044
SD,South Dakota,Stanley County,2966,2966,3098,81,37,7,30,0,51,51,0,0,12.101390025,2.2894521668,9.8119378577,0.0,16.680294358,16.680294358
SD,South Dakota,Sully County,1373,1368,1391,14,16,11,5,0,9,9,0,0,11.560693642,7.9479768786,3.612716763,0.0,6.5028901734,6.5028901734
SD,South Dakota,Todd County,9612,9610,10177,-68,238,131,107,10,-186,-176,1,28,23.308197042,12.829301733,10.478895309,0.9793360102,-18.21564979,-17.23631378
SD,South Dakota,Tripp County,5644,5649,5441,-50,86,56,30,-1,-80,-81,1,131,15.733626052,10.245151848,5.4884742042,-0.18294914,-14.63593121,-14.81888035
SD,South Dakota,Turner County,8347,8349,8384,-38,102,91,11,1,-50,-49,0,153,12.138521956,10.829465667,1.3090562894,0.1190051172,-5.950255861,-5.831250744
SD,South Dakota,Union County,14399,14398,15932,362,185,112,73,14,277,291,-2,89,11.745286014,7.1106596407,4.6346263729,0.8888324551,17.586185004,18.475017459
TN,Tennessee,DeKalb County,18723,18722,20490,357,219,226,-7,54,310,364,0,290,10.782069271,11.126701622,-0.344632351,2.658592423,15.262289836,17.920882259
TN,Tennessee,Dickson County,49666,49650,53948,502,630,526,104,-10,407,397,1,720,11.732499022,9.7957055329,1.9367934894,-0.186230143,7.5795668287,7.3933366855
TN,Tennessee,Dyer County,38335,38330,37159,-127,445,458,-13,-1,-112,-113,-1,548,11.955134663,12.304385788,-0.349251125,-0.026865471,-3.008932769,-3.03579824
TN,Tennessee,Fayette County,38413,38439,41133,577,414,435,-21,23,570,593,5,465,10.136003623,10.650148735,-0.514145111,0.5631113124,13.955367308,14.51847862
TN,Tennessee,Fentress County,17959,17962,18523,201,184,260,-76,-1,275,274,3,262,9.9877866739,14.113176822,-4.125390148,-0.054281449,14.927398562,14.873117112
TN,Tennessee,Franklin County,41052,41064,42208,273,413,456,-43,40,276,316,0,2215,9.8166217035,10.838691276,-1.022069572,0.9507623926,6.5602605089,7.5110229015
TN,Tennessee,Gibson County,49683,49687,49133,-38,579,654,-75,5,34,39,-2,1155,11.779785156,13.305664063,-1.525878906,0.1017252604,0.6917317708,0.7934570313
TN,Tennessee,Giles County,29485,29476,29464,18,301,371,-70,39,51,90,-2,681,10.218978102,12.595484638,-2.376506535,1.3240536411,1.7314547615,3.0555084026
TN,Tennessee,Meigs County,11753,11766,12422,125,133,154,-21,-2,148,146,0,150,10.760953113,12.460050973,-1.69909786,-0.161818844,11.974594442,11.812775598
TN,Tennessee,Monroe County,44519,44498,46545,276,484,575,-91,-30,397,367,0,513,10.429461073,12.390372142,-1.960911069,-0.646454199,8.5547438964,7.9082896977
TN,Tennessee,Montgomery County,172331,172362,208993,3681,3490,1415,2075,15,1576,1591,15,3573,16.847491582,6.8307165011,10.016775081,0.0724104223,7.6079217002,7.6803321225
TN,Tennessee,Moore County,6362,6342,6488,31,59,50,9,16,6,22,0,104,9.1154886056,7.7249903438,1.3904982619,2.47199691,0.9269988413,3.3989957513
TN,Tennessee,Morgan County,21987,21986,21403,-131,199,229,-30,1,-102,-101,0,2264,9.2693946946,10.66679088,-1.397396185,0.0465798728,-4.751147029,-4.704567157
TN,Tennessee,Obion County,31807,31807,30069,-205,328,417,-89,5,-121,-116,0,461,10.871186385,13.820990007,-2.949803623,0.1657193046,-4.010407172,-3.844687868
TN,Tennessee,Overton County,22083,22082,22241,173,233,314,-81,2,254,256,-2,275,10.517050712,14.173192805,-3.656142093,0.0902751134,11.464939403,11.555214516
TN,Tennessee,Perry County,7915,7930,8076,26,102,104,-2,7,21,28,0,123,12.650378271,12.898424904,-0.248046633,0.8681632147,2.6044896441,3.4726528587
TN,Tennessee,Trousdale County,7870,7864,11284,251,111,95,16,0,234,234,1,2616,9.9475735986,8.5136891159,1.4338844827,0.0,20.970560559,20.970560559
TN,Tennessee,Unicoi County,18313,18311,17883,61,173,281,-108,12,157,169,0,452,9.6905195351,15.740092424,-6.049572889,0.6721747654,8.7942865145,9.4664612799
TN,Tennessee,Union County,19109,19107,19972,283,201,214,-13,4,291,295,1,174,10.135901767,10.791457603,-0.655555836,0.2017094879,14.674365245,14.876074733
