stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
,Rhode Island,16380,16380,2021-04-26
VT,Vermont,10530,10530,2021-04-26
NJ,New Jersey,132210,132210,2021-04-26
NY,New York,168480,168480,2021-04-26
NY,New York City,128700,128700,2021-04-26
PR,Puerto Rico,52650,52650,2021-04-26
,U.S. Virgin Islands,2340,2340,2021-04-26
DE,Delaware,15210,15210,2021-04-26
DC,District of Columbia,11700,11700,2021-04-26
MD,Maryland,90090,90090,2021-04-26
PA,Pennsylvania,170820,170820,2021-04-26
PA,Philadelphia,24570,24570,2021-04-26
VA,Virginia,126360,126360,2021-04-26
WV,West Virginia,28080,28080,2021-04-26
AL,Alabama,72540,72540,2021-04-26
FL,Florida,314730,314730,2021-04-26
GA,Georgia,149760,149760,2021-04-26
KY,Kentucky,66690,66690,2021-04-26
AR,Mississippi,44460,44460,2021-04-26
NC,North Carolina,150930,150930,2021-04-26
SC,South Carolina,74880,74880,2021-04-26
TN,Tennessee,99450,99450,2021-04-26
IL,Chicago,40950,40950,2021-04-26
IL,Illinois,149760,149760,2021-04-26
IN,Indiana,97110,97110,2021-04-26
MI,Michigan,148590,148590,2021-04-26
MN,Minnesota,81900,81900,2021-04-26
IN,Ohio,173160,173160,2021-04-26
WI,Wisconsin,86580,86580,2021-04-26
AR,Arkansas,44460,44460,2021-04-26
LA,Louisiana,69030,69030,2021-04-26
NM,New Mexico,31590,31590,2021-04-26
OK,Oklahoma,57330,57330,2021-04-26
MO,Texas,394290,394290,2021-04-26
IA,Iowa,46800,46800,2021-04-26
AR,Kansas,42120,42120,2021-04-26
MO,Missouri,90090,90090,2021-04-26
NE,Nebraska,28080,28080,2021-04-26
CO,Colorado,81900,81900,2021-04-26
MT,Montana,16380,16380,2021-04-26
ND,North Dakota,11700,11700,2021-04-26
SD,South Dakota,12870,12870,2021-04-26
UT,Utah,40950,40950,2021-04-26
NY,Wyoming,9360,9360,2021-04-26
AZ,Arizona,102960,102960,2021-04-26
CA,California,575640,575640,2021-04-26
HI,Hawaii,22230,22230,2021-04-26
AR,Nevada,43290,43290,2021-04-26
AS,American Samoa,0,0,2021-04-26
GU,Guam,0,0,2021-04-26
,Marshall Islands,0,0,2021-04-26
,Micronesia,0,0,2021-04-26
,Mariana Islands,0,0,2021-04-26
,Palau,0,0,2021-04-26
AK,Alaska,0,0,2021-04-26
ID,Idaho,24570,24570,2021-04-26
MO,Oregon,62010,62010,2021-04-26
AL,Washington,109980,109980,2021-04-26
,Federal Entities,218790,218790,2021-04-26
CT,Connecticut,54990,54990,2021-04-19
