stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
PA,Philadelphia,12675,12675,2020-12-28
PR,Puerto Rico,27300,27300,2020-12-28
,Rhode Island,8775,8775,2020-12-28
SC,South Carolina,39000,39000,2020-12-28
SD,South Dakota,6825,6825,2020-12-28
TN,Tennessee,51675,51675,2020-12-28
MO,Texas,203775,203775,2020-12-28
,U.S. Virgin Islands,975,975,2020-12-28
UT,Utah,21450,21450,2020-12-28
VT,Vermont,5850,5850,2020-12-28
VA,Virginia,65325,65325,2020-12-28
AL,Washington,57525,57525,2020-12-28
WV,West Virginia,14625,14625,2020-12-28
WI,Wisconsin,44850,44850,2020-12-28
NY,Wyoming,4875,4875,2020-12-28
AL,Alabama,29250,29250,2020-12-21
AK,Alaska,0,0,2020-12-21
AS,American Samoa,0,0,2020-12-21
AZ,Arizona,41925,41925,2020-12-21
AR,Arkansas,18525,18525,2020-12-21
CA,California,233025,233025,2020-12-21
IL,Chicago,16575,16575,2020-12-21
CO,Colorado,33150,33150,2020-12-21
CT,Connecticut,22425,22425,2020-12-21
DE,Delaware,5850,5850,2020-12-21
DC,District of Columbia,4875,4875,2020-12-21
,Federal Entities,102375,102375,2020-12-21
FL,Florida,127725,127725,2020-12-21
GA,Georgia,60450,60450,2020-12-21
GU,Guam,0,0,2020-12-21
HI,Hawaii,8775,8775,2020-12-21
ID,Idaho,9750,9750,2020-12-21
IL,Illinois,60450,60450,2020-12-21
IN,Indiana,39975,39975,2020-12-21
IA,Iowa,19500,19500,2020-12-21
AR,Kansas,17550,17550,2020-12-21
KY,Kentucky,27300,27300,2020-12-21
LA,Louisiana,28275,28275,2020-12-21
ME,Maine,8775,8775,2020-12-21
,Mariana Islands,0,0,2020-12-21
,Marshall Islands,0,0,2020-12-21
MD,Maryland,36075,36075,2020-12-21
MA,Massachusetts,42900,42900,2020-12-21
MI,Michigan,60450,60450,2020-12-21
,Micronesia,0,0,2020-12-21
MN,Minnesota,33150,33150,2020-12-21
AR,Mississippi,17550,17550,2020-12-21
MO,Missouri,37050,37050,2020-12-21
MT,Montana,6825,6825,2020-12-21
NE,Nebraska,11700,11700,2020-12-21
AR,Nevada,17550,17550,2020-12-21
NH,New Hampshire,8775,8775,2020-12-21
NJ,New Jersey,53625,53625,2020-12-21
NM,New Mexico,12675,12675,2020-12-21
NY,New York,68250,68250,2020-12-21
NY,New York City,51675,51675,2020-12-21
NC,North Carolina,61425,61425,2020-12-21
ND,North Dakota,4875,4875,2020-12-21
IN,Ohio,70200,70200,2020-12-21
OK,Oklahoma,23400,23400,2020-12-21
MO,Oregon,25350,25350,2020-12-21
,Palau,0,0,2020-12-21
PA,Pennsylvania,69225,69225,2020-12-21
PA,Philadelphia,9750,9750,2020-12-21
PR,Puerto Rico,21450,21450,2020-12-21
,Rhode Island,6825,6825,2020-12-21
SC,South Carolina,30225,30225,2020-12-21
SD,South Dakota,5850,5850,2020-12-21
TN,Tennessee,39975,39975,2020-12-21
MO,Texas,159900,159900,2020-12-21
,U.S. Virgin Islands,975,975,2020-12-21
UT,Utah,16575,16575,2020-12-21
VT,Vermont,4875,4875,2020-12-21
VA,Virginia,50700,50700,2020-12-21
AL,Washington,44850,44850,2020-12-21
WV,West Virginia,11700,11700,2020-12-21
WI,Wisconsin,35100,35100,2020-12-21
NY,Wyoming,3900,3900,2020-12-21
AL,Alabama,40950,40950,2020-12-14
AK,Alaska,35100,35100,2020-12-14
AS,American Samoa,5850,0,2020-12-14
AZ,Arizona,58500,58500,2020-12-14
AR,Arkansas,25350,25350,2020-12-14
CA,California,327600,327600,2020-12-14
IL,Chicago,23400,23400,2020-12-14
CO,Colorado,46800,46800,2020-12-14
CT,Connecticut,31200,31200,2020-12-14
DE,Delaware,8775,8775,2020-12-14
DC,District of Columbia,6825,6825,2020-12-14
,Federal Entities,156000,142350,2020-12-14
FL,Florida,179400,179400,2020-12-14
GA,Georgia,84825,84825,2020-12-14
GU,Guam,11700,0,2020-12-14
HI,Hawaii,12675,12675,2020-12-14
ID,Idaho,13650,13650,2020-12-14
IL,Illinois,85800,85800,2020-12-14
IN,Indiana,55575,55575,2020-12-14
IA,Iowa,26325,26325,2020-12-14
AR,Kansas,24375,24375,2020-12-14
KY,Kentucky,38025,38025,2020-12-14
LA,Louisiana,39000,39000,2020-12-14
ME,Maine,12675,12675,2020-12-14
,Mariana Islands,5850,0,2020-12-14
,Marshall Islands,0,0,2020-12-14
MD,Maryland,50700,50700,2020-12-14
MA,Massachusetts,59475,59475,2020-12-14
MI,Michigan,84825,84825,2020-12-14
,Micronesia,0,0,2020-12-14
MN,Minnesota,46800,46800,2020-12-14
AR,Mississippi,25350,25350,2020-12-14
MO,Missouri,51675,51675,2020-12-14
MT,Montana,9750,9750,2020-12-14
NE,Nebraska,16575,16575,2020-12-14
AR,Nevada,25350,25350,2020-12-14
NH,New Hampshire,12675,12675,2020-12-14
NJ,New Jersey,76050,76050,2020-12-14
NM,New Mexico,17550,17550,2020-12-14
NY,New York,96525,96525,2020-12-14
NY,New York City,73125,73125,2020-12-14
NC,North Carolina,85800,85800,2020-12-14
ND,North Dakota,6825,6825,2020-12-14
IN,Ohio,98475,98475,2020-12-14
OK,Oklahoma,33150,33150,2020-12-14
MO,Oregon,35100,35100,2020-12-14
,Palau,0,0,2020-12-14
PA,Pennsylvania,97500,97500,2020-12-14
PA,Philadelphia,13650,13650,2020-12-14
PR,Puerto Rico,30225,30225,2020-12-14
,Rhode Island,9750,9750,2020-12-14
SC,South Carolina,42900,42900,2020-12-14
SD,South Dakota,7800,7800,2020-12-14
TN,Tennessee,56550,56550,2020-12-14
MO,Texas,224250,224250,2020-12-14
,U.S. Virgin Islands,975,975,2020-12-14
UT,Utah,23400,23400,2020-12-14
VT,Vermont,5850,5850,2020-12-14
VA,Virginia,72150,72150,2020-12-14
AL,Washington,62400,62400,2020-12-14
WV,West Virginia,16575,16575,2020-12-14
WI,Wisconsin,49725,49725,2020-12-14
NY,Wyoming,4875,4875,2020-12-14
