stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
PA,Pennsylvania,68700,68700,2020-12-28
PA,Philadelphia,9500,9500,2020-12-28
PR,Puerto Rico,20900,20900,2020-12-28
,Rhode Island,6600,6600,2020-12-28
SC,South Carolina,29900,29900,2020-12-28
SD,South Dakota,5100,5100,2020-12-28
TN,Tennessee,39800,39800,2020-12-28
MO,Texas,159100,159100,2020-12-28
,U.S. Virgin Islands,700,700,2020-12-28
UT,Utah,16600,16600,2020-12-28
VT,Vermont,4000,4000,2020-12-28
VA,Virginia,50600,50600,2020-12-28
AL,Washington,44300,44300,2020-12-28
WV,West Virginia,11300,11300,2020-12-28
WI,Wisconsin,34900,34900,2020-12-28
NY,Wyoming,3500,3500,2020-12-28
AL,Alabama,84300,84300,2020-12-21
AK,Alaska,26800,26800,2020-12-21
AS,American Samoa,2400,0,2020-12-21
AZ,Arizona,119400,119400,2020-12-21
AR,Arkansas,51100,51100,2020-12-21
CA,California,672600,672600,2020-12-21
IL,Chicago,46800,46800,2020-12-21
CO,Colorado,95600,95600,2020-12-21
CT,Connecticut,63300,63300,2020-12-21
DE,Delaware,16700,16700,2020-12-21
DC,District of Columbia,12600,12600,2020-12-21
,Federal Entities,298200,289200,2020-12-21
FL,Florida,367900,367900,2020-12-21
GA,Georgia,174400,174400,2020-12-21
GU,Guam,7600,0,2020-12-21
HI,Hawaii,25000,25000,2020-12-21
ID,Idaho,28000,28000,2020-12-21
IL,Illinois,174600,174600,2020-12-21
IN,Indiana,113300,113300,2020-12-21
IA,Iowa,53800,53800,2020-12-21
AR,Kansas,49100,49100,2020-12-21
KY,Kentucky,76700,76700,2020-12-21
LA,Louisiana,79500,79500,2020-12-21
ME,Maine,24200,24200,2020-12-21
,Mariana Islands,2600,0,2020-12-21
,Marshall Islands,7200,0,2020-12-21
MD,Maryland,104300,104300,2020-12-21
MA,Massachusetts,121900,121900,2020-12-21
MI,Michigan,173600,173600,2020-12-21
,Micronesia,9800,0,2020-12-21
MN,Minnesota,94900,94900,2020-12-21
AR,Mississippi,50800,50800,2020-12-21
MO,Missouri,105300,105300,2020-12-21
MT,Montana,18300,18300,2020-12-21
NE,Nebraska,32400,32400,2020-12-21
AR,Nevada,50300,50300,2020-12-21
NH,New Hampshire,24200,24200,2020-12-21
NJ,New Jersey,154500,154500,2020-12-21
NM,New Mexico,36100,36100,2020-12-21
NY,New York,196800,196800,2020-12-21
NY,New York City,149400,149400,2020-12-21
NC,North Carolina,175900,175900,2020-12-21
ND,North Dakota,13200,13200,2020-12-21
IN,Ohio,201900,201900,2020-12-21
OK,Oklahoma,66200,66200,2020-12-21
MO,Oregon,72100,72100,2020-12-21
,Palau,2800,0,2020-12-21
PA,Pennsylvania,198800,198800,2020-12-21
PA,Philadelphia,27600,27600,2020-12-21
PR,Puerto Rico,60400,60400,2020-12-21
,Rhode Island,19000,19000,2020-12-21
SC,South Carolina,86400,86400,2020-12-21
SD,South Dakota,14600,14600,2020-12-21
TN,Tennessee,115200,115200,2020-12-21
MO,Texas,460500,460500,2020-12-21
,U.S. Virgin Islands,1900,1900,2020-12-21
UT,Utah,47800,47800,2020-12-21
VT,Vermont,11400,11400,2020-12-21
VA,Virginia,146400,146400,2020-12-21
AL,Washington,128000,128000,2020-12-21
WV,West Virginia,32600,32600,2020-12-21
WI,Wisconsin,101000,101000,2020-12-21
NY,Wyoming,10000,10000,2020-12-21
