stcode,jurisdiction,first_dose_allocations,second_dose_allocations,week_of_allocations
VT,Vermont,4200,4200,2021-01-18
VA,Virginia,53100,53100,2021-01-18
AL,Washington,46500,46500,2021-01-18
WV,West Virginia,11900,11900,2021-01-18
WI,Wisconsin,36700,36700,2021-01-18
NY,Wyoming,3700,3700,2021-01-18
AL,Alabama,29100,29100,2021-01-11
AK,Alaska,0,0,2021-01-11
AS,American Samoa,0,0,2021-01-11
AZ,Arizona,41300,41300,2021-01-11
AR,Arkansas,17700,17700,2021-01-11
CA,California,232300,232300,2021-01-11
IL,Chicago,16200,16200,2021-01-11
CO,Colorado,33000,33000,2021-01-11
CT,Connecticut,21900,21900,2021-01-11
DE,Delaware,5800,5800,2021-01-11
DC,District of Columbia,4400,4400,2021-01-11
,Federal Entities,99900,99900,2021-01-11
FL,Florida,127100,127100,2021-01-11
GA,Georgia,60200,60200,2021-01-11
GU,Guam,0,0,2021-01-11
HI,Hawaii,8700,8700,2021-01-11
ID,Idaho,9700,9700,2021-01-11
IL,Illinois,60300,60300,2021-01-11
IN,Indiana,39200,39200,2021-01-11
IA,Iowa,18600,18600,2021-01-11
AR,Kansas,17000,17000,2021-01-11
KY,Kentucky,26500,26500,2021-01-11
LA,Louisiana,27500,27500,2021-01-11
ME,Maine,8400,8400,2021-01-11
,Mariana Islands,0,0,2021-01-11
,Marshall Islands,0,0,2021-01-11
MD,Maryland,36000,36000,2021-01-11
MA,Massachusetts,42100,42100,2021-01-11
MI,Michigan,60000,60000,2021-01-11
,Micronesia,0,0,2021-01-11
MN,Minnesota,32900,32900,2021-01-11
AR,Mississippi,17600,17600,2021-01-11
MO,Missouri,36400,36400,2021-01-11
MT,Montana,6400,6400,2021-01-11
NE,Nebraska,11200,11200,2021-01-11
AR,Nevada,17400,17400,2021-01-11
NH,New Hampshire,8400,8400,2021-01-11
NJ,New Jersey,53400,53400,2021-01-11
NM,New Mexico,12500,12500,2021-01-11
NY,New York,68000,68000,2021-01-11
NY,New York City,51600,51600,2021-01-11
NC,North Carolina,60800,60800,2021-01-11
ND,North Dakota,4600,4600,2021-01-11
IN,Ohio,69700,69700,2021-01-11
